id,created_at, user_id,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label,sentiment_classifier_score
Fri Feb 15 08:47:33 +0000 2019,110961801,"Todo el equipo de JMT preparados para la proxima edicion del @mwcbarcelona en @firadebarcelona  - Cualquier cosa, no� https://t.co/yjhX2LjZa2",es,None,None,None,37ded68f419372ee,None,ES,1,4,#firabarcelona,41.309457,2.092745,1.0,NEG,POS,0.646
Fri Feb 15 08:47:33 +0000 2019,110961801,"Todo el equipo de JMT preparados para la proxima edicion del @mwcbarcelona en @firadebarcelona  - Cualquier cosa, no� https://t.co/yjhX2LjZa2",es,None,None,None,37ded68f419372ee,None,ES,1,4,#firabarcelona,41.309457,2.092745,1.0,NEG,POS,0.646
1099989106069655552,Mon Feb 25 11:06:54 +0000 2019,59894497,This week I'll be at the Mobile World Congress in Barcelona. Get ready for all the new tech coming in 2019. #mwc� https://t.co/Fajq40ChlV,en,Point,41.35519869,2.13739183,1a27537478dd8e38,None,ES,0,0,#firabarcelona,41.35402,2.12874,1,NEG,0.028
1099969669967069189,Mon Feb 25 09:49:40 +0000 2019,87738943,First day at MWC 2019. - Ready to see lots of engagement on our client stands. #MWC2019 #Barcelona #FiraBarcelona https://t.co/gOu71Nf4fe,en,None,None,None,1a27537478dd8e38,None,ES,1,2,#firabarcelona,41.37907,2.153966,2,NEG,0.017
1099969669967069189,Mon Feb 25 09:49:40 +0000 2019,87738943,First day at MWC 2019. - Ready to see lots of engagement on our client stands. #MWC2019 #Barcelona #FiraBarcelona https://t.co/gOu71Nf4fe,en,None,None,None,1a27537478dd8e38,None,ES,2,3,#firabarcelona,41.37907,2.153966,2,NEG,0.017
1099969669967069189,Mon Feb 25 09:49:40 +0000 2019,87738943,First day at MWC 2019. - Ready to see lots of engagement on our client stands. #MWC2019 #Barcelona #FiraBarcelona https://t.co/gOu71Nf4fe,en,None,None,None,1a27537478dd8e38,None,ES,2,3,#firabarcelona,41.378565,2.1454779999999998,2,NEG,0.017
